代码,简称,基金经理,基金公司,5星评级家数,上海证券,招商证券,济安金信,晨星评级,手续费,类型
5976,长信稳进资产配置(FOF),"李宇,潘媛",长信,2,,5,5,2,0.0008,FOF-均衡型
6322,中欧预见养老2035(FOF)C,桑磊,中欧,1,,,5,,0,FOF-均衡型
6289,华夏养老2040三年持有混合(FOF)A,许利明,华夏,1,,4,5,,0.0015,FOF-均衡型
6306,宏利泰和平衡养老目标三年持有混合(FOF)A,张晓龙,宏利,1,,3,5,3,0.0012,FOF-均衡型
6291,南方养老2035三年持有混合(FOF)C,"黄俊,鲁炳良",南方,1,,,5,,0,FOF-均衡型
6307,嘉实养老2040混合(FOF)A,唐棠,嘉实,1,,4,5,,0.0008,FOF-均衡型
6507,前海开源裕泽(FOF),李赫,前海开源,1,,,5,,0.0012,FOF-均衡型
6295,工银养老2035三年持有A,徐心远,工银,1,,3,5,,0.0005,FOF-均衡型
6580,兴全安泰平衡养老三年持有(FOF)A,林国怀,兴证全球,1,,4,5,4,0.001,FOF-均衡型
6763,汇添富养老2030三年持有混合(FOF)A,"蔡健林,陈思",汇添富,1,,,5,,0.0012,FOF-均衡型
5221,宏利全能混合(FOF)A,张晓龙,宏利,1,,,5,3,0.0006,FOF-稳健型
5218,华夏聚惠(FOF)A,"卢少强,孟清扬",华夏,1,,4,5,3,0.001,FOF-稳健型
5216,南方全天候策略(FOF)C,"夏莹莹,李文良",南方,1,,,5,3,0,FOF-稳健型
5157,嘉实领航资产配置混合C,赵迁,嘉实,1,,,5,1,0,FOF-稳健型
5217,建信福泽安泰混合(FOF)A,"姜华,王志鹏",建信,1,,,5,2,0.0008,FOF-稳健型
6876,国投瑞银稳健养老目标一年持有混合(FOF)A,杨晗,国投瑞银,2,,5,5,3,0.0006,FOF-稳健型
6298,广发稳健养老目标一年持有混合(FOF)A,"曹建文,朱坤",广发,1,,3,5,4,0.0012,FOF-稳健型
6294,万家稳健养老三年持有混合(FOF)A,徐朝贞,万家,1,,,5,3,0.0008,FOF-稳健型
7070,博时颐泽稳健养老(FOF)A,王慧,博时,1,,,5,2,0.0008,FOF-稳健型
6991,民生加银康宁稳健养老目标一年持有混合(FOF)A,"孔思伟,刘欣",民生,1,,,5,3,0.001,FOF-稳健型
5220,海富通聚优精选混合(FOF),"朱赟,吴明杰",海富通,1,,,5,3,0.0015,FOF-进取型
6042,摩根尚睿混合(FOF)A,吴春杰,摩根,1,,,5,4,0.001,FOF-进取型
6891,华夏养老2050五年持有混合发起式(FOF)A,李晓易,华夏,1,,3,5,,0.0015,FOF-进取型
7242,中欧预见养老2050五年持有(FOF)C,桑磊,中欧,1,,,5,,0,FOF-进取型
5926,建信福泽裕泰混合(FOF)C,孙悦萌,建信,1,,,5,3,0,FOF-进取型
7898,富国智诚精选3个月持有期混合(FOF)A,王登元,富国,1,,,5,3,0.012,FOF-进取型
7060,汇添富养老2050混合(FOF)A,李彪,汇添富,1,,,5,,0.0012,FOF-进取型
8145,兴全优选进取三个月持有(FOF)A,林国怀,兴证全球,1,,,5,4,0.0015,FOF-进取型
7904,广发锐意进取3个月持有混合(FOF)A,曹建文,广发,1,,,5,3,0.0015,FOF-进取型
9371,浦银安盛睿和优选3个月持有混合(FOF)C,李子宸,浦银,0,,,,4,0,FOF-进取型
163813,中银全球策略(QDII-FOF)A,夏宜冰,中银,0,,,1,4,0.0015,QDII-FOF
7721,天弘标普500发起(QDII-FOF)A,胡超,天弘,0,,,4,2,0.001,QDII-FOF
320017,诺安全球收益不动产,宋青,诺安,0,,,2,,0.0015,QDII-REITs
70031,嘉实全球房地产(QDII),"蒋一茜,张琴",嘉实,0,,,2,,0.0015,QDII-REITs
206011,鹏华美国房地产(QDII),朱庆恒,鹏华,0,,,3,2,0.001,QDII-REITs
320013,诺安全球黄金,宋青,诺安,1,,,5,,0.0008,QDII-商品
164701,汇添富黄金及贵金属(QDII-LOF-FOF)A,过蓓蓓,汇添富,0,,,4,,0.0008,QDII-商品
160719,嘉实黄金,张钟玉,嘉实,0,,,3,,0.0008,QDII-商品
50020,博时抗通胀增强回报,杨涛,博时,0,,,2,,0.0015,QDII-商品
161116,易方达黄金主题人民币A,殷春涛,易方达,0,,,4,,0.001,QDII-商品
161815,银华抗通胀主题(QDII-FOF-LOF)A,"李宜璇,陈悦",银华,0,,,3,,0.0016,QDII-商品
160216,国泰大宗商品(QDII-LOF)A,朱丹,国泰,0,,,2,,0.0015,QDII-商品
165513,中信保诚全球商品主题(QDII-FOF-LOF)A,顾凡丁,中信保诚,0,,,2,,0.0016,QDII-商品
163208,诺安油气能源,宋青,诺安,0,,,2,,0.0015,QDII-普通股票
40018,华安香港精选股票(QDII),"苏圻涵,翁启森",华安,0,,,3,4,0.0016,QDII-普通股票
50015,博时大中华亚太精选,赵宪成,博时,0,,,2,,0.0016,QDII-普通股票
118001,易方达亚洲精选股票,张坤,易方达,0,,,3,,0.0016,QDII-普通股票
202801,南方全球精选配置股票(QDII-FOF)A,恽雷,南方,0,,,3,1,0.0016,QDII-普通股票
486001,工银全球股票(QDII)人民币,"林念,耿家琛",工银,0,,,4,4,0.0016,QDII-普通股票
44,嘉实美国成长股票美元现汇,"张自力,张楠",嘉实,1,,,5,3,0.0015,QDII-普通股票
457001,国富亚洲机会股票(QDII)A,徐成,国海,0,,,3,,0.0015,QDII-普通股票
906,广发全球精选股票(QDII)美元A,李耀柱,广发,1,,,4,5,0.016,QDII-普通股票
