ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20251031,11.38,11.4,11.3,11.32,11.38,-0.06,-0.5272,970192.93,1099179.193
000002.SZ,20251031,6.24,6.3,6.2,6.27,6.27,0.0,0.0,845102.09,529341.765
000004.SZ,20251031,12.02,12.41,12.02,12.28,12.65,-0.37,-2.9249,101921.57,123557.91
000006.SZ,20251031,12.89,13.19,12.57,12.68,12.65,0.03,0.2372,740091.39,953752.554
000007.SZ,20251031,8.12,8.36,8.05,8.3,8.21,0.09,1.0962,161351.66,131980.209
000008.SZ,20251031,2.86,2.9,2.85,2.88,2.86,0.02,0.6993,475807.1,136826.792
000009.SZ,20251031,11.06,11.7,11.03,11.46,11.17,0.29,2.5962,830839.04,953012.437
000010.SZ,20251031,3.82,3.9,3.8,3.83,3.83,0.0,0.0,181677.0,69922.64
000011.SZ,20251031,11.07,11.41,11.0,11.16,10.98,0.18,1.6393,288130.41,322849.803
000012.SZ,20251031,4.78,4.78,4.72,4.76,4.76,0.0,0.0,169961.55,80658.211
000014.SZ,20251031,18.75,19.75,18.75,18.75,20.83,-2.08,-9.9856,308108.08,582045.721
000016.SZ,20251031,5.4,5.46,5.38,5.41,5.44,-0.03,-0.5515,415282.79,224927.633
000017.SZ,20251031,6.75,6.86,6.72,6.76,6.68,0.08,1.1976,134072.32,90713.654
000019.SZ,20251031,6.95,6.98,6.92,6.98,6.95,0.03,0.4317,143916.6,99985.69
000020.SZ,20251031,14.6,14.8,14.5,14.66,14.69,-0.03,-0.2042,67740.01,99125.945
000021.SZ,20251031,28.6,28.73,27.2,27.3,29.16,-1.86,-6.3786,1406763.63,3891878.591
000025.SZ,20251031,17.88,18.19,17.81,18.1,17.94,0.16,0.8919,111006.09,200414.763
000026.SZ,20251031,16.37,16.41,16.21,16.34,16.24,0.1,0.6158,33637.81,54925.651
000027.SZ,20251031,7.18,7.18,7.01,7.03,7.31,-0.28,-3.8304,842577.74,596320.69
000028.SZ,20251031,25.35,25.5,25.28,25.42,25.37,0.05,0.1971,31136.32,78965.163
000029.SZ,20251031,28.51,29.37,28.45,28.68,28.35,0.33,1.164,51045.94,147753.045
000030.SZ,20251031,5.56,5.65,5.55,5.62,5.57,0.05,0.8977,131507.07,73903.22
000031.SZ,20251031,3.04,3.08,2.97,2.97,3.05,-0.08,-2.623,391452.0,117495.737
000032.SZ,20251031,20.24,20.84,20.17,20.72,20.24,0.48,2.3715,204791.25,422949.265
000034.SZ,20251031,41.0,43.88,40.66,43.03,41.14,1.89,4.5941,537190.45,2287963.528
000035.SZ,20251031,5.96,5.98,5.86,5.87,5.86,0.01,0.1706,296553.29,175282.34
000036.SZ,20251031,3.94,4.18,3.94,4.09,3.86,0.23,5.9585,522857.42,213560.355
000037.SZ,20251031,8.66,8.73,8.63,8.73,8.67,0.06,0.692,40644.0,35351.637
000039.SZ,20251031,8.14,8.14,7.89,7.89,8.25,-0.36,-4.3636,935243.2,743890.567
000042.SZ,20251031,7.7,7.77,7.68,7.74,7.67,0.07,0.9126,39221.0,30311.759
000045.SZ,20251031,13.35,13.66,13.24,13.48,13.33,0.15,1.1253,143002.94,192671.763
000048.SZ,20251031,16.49,16.64,16.38,16.42,16.48,-0.06,-0.3641,126988.34,209706.632
000049.SZ,20251031,28.37,29.08,28.09,28.1,28.39,-0.29,-1.0215,144622.47,413338.216
000050.SZ,20251031,9.58,9.89,9.55,9.71,9.48,0.23,2.4262,415694.81,406423.411
000055.SZ,20251031,4.25,4.32,4.24,4.28,4.24,0.04,0.9434,108069.94,46317.661
000056.SZ,20251031,2.29,2.35,2.27,2.33,2.29,0.04,1.7467,384442.99,89138.684
000058.SZ,20251031,9.76,10.03,9.76,9.9,9.77,0.13,1.3306,275773.64,272516.213
000059.SZ,20251031,5.11,5.13,5.07,5.08,5.12,-0.04,-0.7813,139946.02,71298.84
000060.SZ,20251031,5.6,5.69,5.5,5.51,5.67,-0.16,-2.8219,1495679.21,835664.819
000061.SZ,20251031,8.5,8.62,8.44,8.55,8.48,0.07,0.8255,150479.4,128321.729
000062.SZ,20251031,27.48,27.93,27.34,27.74,27.56,0.18,0.6531,94557.14,261749.713
000063.SZ,20251031,44.65,44.66,43.4,43.46,44.83,-1.37,-3.056,1862970.77,8184852.241
000065.SZ,20251031,11.11,11.24,11.06,11.17,11.08,0.09,0.8123,175949.05,196428.075
000066.SZ,20251031,16.88,17.32,16.87,16.91,16.98,-0.07,-0.4122,1102098.07,1881704.073
000068.SZ,20251031,3.89,3.93,3.78,3.81,3.81,0.0,0.0,313447.28,119754.04
000069.SZ,20251031,2.39,2.42,2.37,2.38,2.38,0.0,0.0,658213.0,157881.844
000070.SZ,20251031,9.75,9.85,9.7,9.79,9.75,0.04,0.4103,234759.98,229580.893
000078.SZ,20251031,2.49,2.53,2.48,2.52,2.49,0.03,1.2048,197365.0,49541.342
000088.SZ,20251031,4.61,4.62,4.55,4.56,4.6,-0.04,-0.8696,401193.8,183281.714
000089.SZ,20251031,7.2,7.23,7.15,7.22,7.2,0.02,0.2778,140556.01,101059.868
000001.SZ,20251030,11.38,11.47,11.36,11.38,11.39,-0.01,-0.0878,943770.15,1077182.643
000002.SZ,20251030,6.31,6.32,6.26,6.27,6.31,-0.04,-0.6339,737459.11,463346.536
000004.SZ,20251030,12.61,13.24,12.52,12.65,12.61,0.04,0.3172,80237.86,103150.35
000006.SZ,20251030,13.04,13.09,12.65,12.65,13.03,-0.38,-2.9163,554281.05,709524.457
000007.SZ,20251030,8.23,8.49,8.04,8.21,7.99,0.22,2.7534,271839.79,223793.722
000008.SZ,20251030,2.86,2.9,2.85,2.86,2.86,0.0,0.0,523923.18,150505.99
000009.SZ,20251030,11.23,11.43,11.12,11.17,11.22,-0.05,-0.4456,517624.63,583129.791
000010.SZ,20251030,3.91,3.93,3.82,3.83,3.93,-0.1,-2.5445,237042.0,91513.104
000011.SZ,20251030,11.16,11.31,10.72,10.98,11.17,-0.19,-1.701,304608.2,333288.475
000012.SZ,20251030,4.79,4.8,4.75,4.76,4.81,-0.05,-1.0395,190129.02,90724.856
000014.SZ,20251030,22.34,22.58,20.77,20.83,22.34,-1.51,-6.7592,188900.2,410178.059
000016.SZ,20251030,5.52,5.59,5.43,5.44,5.57,-0.13,-2.3339,645857.66,354798.086
000017.SZ,20251030,6.79,6.84,6.68,6.68,6.7,-0.02,-0.2985,155212.12,104642.575
000019.SZ,20251030,6.94,6.99,6.9,6.95,6.99,-0.04,-0.5722,148235.95,102976.794
000020.SZ,20251030,14.8,14.91,14.47,14.69,14.74,-0.05,-0.3392,87694.81,128981.053
000021.SZ,20251030,30.4,30.67,29.1,29.16,29.81,-0.65,-2.1805,1318288.19,3911793.692
000025.SZ,20251030,18.3,18.33,17.94,17.94,18.35,-0.41,-2.2343,144991.3,262527.149
000026.SZ,20251030,16.49,16.49,16.16,16.24,16.47,-0.23,-1.3965,50268.01,81848.497
000027.SZ,20251030,7.18,7.38,7.15,7.31,7.21,0.1,1.387,904537.51,657764.643
000028.SZ,20251030,25.47,25.55,25.37,25.37,25.47,-0.1,-0.3926,23312.24,59384.542
000029.SZ,20251030,29.27,29.39,28.33,28.35,29.13,-0.78,-2.6777,50300.01,144702.568
000030.SZ,20251030,5.59,5.64,5.55,5.57,5.59,-0.02,-0.3578,116474.4,65143.138
000031.SZ,20251030,3.22,3.24,3.05,3.05,3.28,-0.23,-7.0122,588453.0,183570.881
000032.SZ,20251030,20.35,20.69,20.08,20.24,20.47,-0.23,-1.1236,156432.0,318418.735
000034.SZ,20251030,42.02,42.07,40.6,41.14,42.95,-1.81,-4.2142,576090.93,2380952.39
000035.SZ,20251030,5.88,5.98,5.8,5.86,5.82,0.04,0.6873,341472.0,200993.176
000036.SZ,20251030,3.98,3.98,3.86,3.86,3.99,-0.13,-3.2581,218319.3,85406.317
000037.SZ,20251030,8.8,8.87,8.67,8.67,8.82,-0.15,-1.7007,61564.0,53850.056
000039.SZ,20251030,8.16,8.31,8.15,8.25,8.19,0.06,0.7326,434013.86,358600.245
000042.SZ,20251030,7.81,7.81,7.66,7.67,7.81,-0.14,-1.7926,54842.0,42328.547
000045.SZ,20251030,13.9,13.93,13.3,13.33,13.94,-0.61,-4.3759,248862.0,334034.97
000048.SZ,20251030,16.72,16.73,16.47,16.48,16.74,-0.26,-1.5532,128787.0,213487.402
000049.SZ,20251030,28.26,28.85,27.94,28.39,28.37,0.02,0.0705,153570.48,435446.069
000050.SZ,20251030,9.54,9.6,9.46,9.48,9.55,-0.07,-0.733,170021.11,161866.078
000055.SZ,20251030,4.34,4.35,4.23,4.24,4.35,-0.11,-2.5287,158056.11,67654.54
000056.SZ,20251030,2.37,2.38,2.28,2.29,2.31,-0.02,-0.8658,349885.0,80851.208
000058.SZ,20251030,9.92,10.16,9.76,9.77,9.85,-0.08,-0.8122,319472.14,317457.671
000059.SZ,20251030,5.15,5.18,5.07,5.12,5.18,-0.06,-1.1583,231429.0,118295.837
000060.SZ,20251030,5.71,5.78,5.66,5.67,5.79,-0.12,-2.0725,1488123.67,849836.658
000061.SZ,20251030,8.75,8.86,8.48,8.48,8.64,-0.16,-1.8519,209682.44,181460.987
000062.SZ,20251030,28.14,28.35,27.55,27.56,28.17,-0.61,-2.1654,144219.1,402701.76
000063.SZ,20251030,45.61,45.88,44.76,44.83,46.2,-1.37,-2.9654,2285196.33,10333210.301
000065.SZ,20251030,11.29,11.32,11.02,11.08,11.31,-0.23,-2.0336,259040.7,288119.066
000066.SZ,20251030,16.67,17.5,16.52,16.98,16.83,0.15,0.8913,1820740.75,3116929.804
000068.SZ,20251030,3.88,3.9,3.75,3.81,3.95,-0.14,-3.5443,542920.7,207695.54
000069.SZ,20251030,2.39,2.4,2.37,2.38,2.39,-0.01,-0.4184,479126.03,114134.821
000070.SZ,20251030,10.06,10.06,9.72,9.75,10.14,-0.39,-3.8462,413543.99,408100.476
000078.SZ,20251030,2.52,2.52,2.47,2.49,2.52,-0.03,-1.1905,208473.53,52059.286
000088.SZ,20251030,4.58,4.65,4.57,4.6,4.58,0.02,0.4367,535022.68,246885.098
000089.SZ,20251030,7.22,7.25,7.17,7.2,7.21,-0.01,-0.1387,127124.43,91687.661
000001.SZ,20251029,11.46,11.46,11.36,11.39,11.47,-0.08,-0.6975,966213.64,1100783.363
000002.SZ,20251029,6.26,6.32,6.24,6.31,6.27,0.04,0.638,857160.82,539296.509
000004.SZ,20251029,12.73,13.01,12.48,12.61,12.77,-0.16,-1.2529,49296.0,62589.806
000006.SZ,20251029,12.76,13.68,12.71,13.03,12.81,0.22,1.7174,947899.05,1244615.015
000007.SZ,20251029,7.4,8.07,7.35,7.99,7.4,0.59,7.973,213070.45,166549.605
000008.SZ,20251029,2.87,2.88,2.84,2.86,2.87,-0.01,-0.3484,398686.42,113961.212
000009.SZ,20251029,10.75,11.24,10.72,11.22,10.8,0.42,3.8889,510420.92,564044.669
000010.SZ,20251029,3.88,3.93,3.79,3.93,3.86,0.07,1.8135,266569.0,103473.203
000011.SZ,20251029,11.34,11.64,11.08,11.17,11.06,0.11,0.9946,448760.86,508518.035
000012.SZ,20251029,4.68,4.82,4.66,4.81,4.7,0.11,2.3404,428828.24,204667.617
000014.SZ,20251029,22.1,22.76,21.71,22.34,22.02,0.32,1.4532,136016.0,303261.507
000016.SZ,20251029,5.63,5.64,5.53,5.57,5.67,-0.1,-1.7637,687365.87,382887.993
000017.SZ,20251029,6.76,6.8,6.65,6.7,6.8,-0.1,-1.4706,148988.26,99763.511
000019.SZ,20251029,6.93,7.02,6.9,6.99,6.98,0.01,0.1433,177915.42,124006.529
000020.SZ,20251029,15.03,15.05,14.68,14.74,15.02,-0.28,-1.8642,99288.81,146673.764
000021.SZ,20251029,29.34,30.16,29.16,29.81,29.46,0.35,1.1881,1278122.74,3798508.577
000025.SZ,20251029,18.4,18.5,18.13,18.35,18.58,-0.23,-1.2379,146732.41,268331.19
000026.SZ,20251029,16.37,16.48,16.25,16.47,16.4,0.07,0.4268,39583.0,64866.926
000027.SZ,20251029,7.1,7.26,7.03,7.21,7.07,0.14,1.9802,826015.4,590660.42
000028.SZ,20251029,25.43,25.47,25.3,25.47,25.42,0.05,0.1967,21415.74,54349.011
000029.SZ,20251029,29.6,29.83,28.95,29.13,29.41,-0.28,-0.9521,39306.17,115343.61
000030.SZ,20251029,5.63,5.64,5.53,5.59,5.6,-0.01,-0.1786,78120.81,43557.954
000031.SZ,20251029,3.18,3.44,3.13,3.28,3.19,0.09,2.8213,497960.4,162130.848
000032.SZ,20251029,20.53,20.75,20.25,20.47,20.9,-0.43,-2.0574,223162.29,455477.03
000034.SZ,20251029,40.37,44.4,40.33,42.95,40.36,2.59,6.4172,908850.02,3924683.363
000035.SZ,20251029,5.86,5.91,5.8,5.82,5.82,0.0,0.0,233736.06,136362.48
000036.SZ,20251029,4.01,4.01,3.94,3.99,4.0,-0.01,-0.25,145149.53,57610.742
000037.SZ,20251029,8.78,8.83,8.66,8.82,8.82,0.0,0.0,67246.66,58878.492
000039.SZ,20251029,8.21,8.21,8.09,8.19,8.18,0.01,0.1222,271700.93,221326.763
000042.SZ,20251029,7.91,7.93,7.78,7.81,7.92,-0.11,-1.3889,52034.0,40685.746
000045.SZ,20251029,13.85,14.18,13.75,13.94,13.86,0.08,0.5772,273517.24,382147.797
000048.SZ,20251029,16.76,16.82,16.51,16.74,16.75,-0.01,-0.0597,184682.07,308272.443
000049.SZ,20251029,27.43,28.5,27.4,28.37,27.36,1.01,3.6915,171115.47,480451.965
000050.SZ,20251029,9.5,9.57,9.47,9.55,9.55,0.0,0.0,151131.28,144000.173
000055.SZ,20251029,4.4,4.4,4.3,4.35,4.43,-0.08,-1.8059,173826.2,75424.429
000056.SZ,20251029,2.33,2.33,2.26,2.31,2.35,-0.04,-1.7021,422024.0,96586.751
000058.SZ,20251029,9.7,9.98,9.62,9.85,9.78,0.07,0.7157,361768.31,355951.646
000059.SZ,20251029,5.09,5.2,5.08,5.18,5.1,0.08,1.5686,235929.12,121685.83
000060.SZ,20251029,5.54,5.8,5.53,5.79,5.5,0.29,5.2727,1569110.86,890071.015
000061.SZ,20251029,8.45,8.84,8.29,8.64,8.4,0.24,2.8571,279157.39,237929.582
000062.SZ,20251029,27.98,28.26,27.85,28.17,27.91,0.26,0.9316,137103.26,385201.793
000063.SZ,20251029,45.45,46.7,44.59,46.2,49.39,-3.19,-6.4588,3991959.03,18259603.876
000065.SZ,20251029,11.25,11.31,11.14,11.31,11.29,0.02,0.1771,155784.0,174973.534
000066.SZ,20251029,16.48,16.94,16.44,16.83,16.42,0.41,2.497,1011217.37,1694462.359
000068.SZ,20251029,3.84,4.18,3.78,3.95,3.84,0.11,2.8646,644608.97,255092.67
000069.SZ,20251029,2.4,2.41,2.36,2.39,2.41,-0.02,-0.8299,581195.02,138502.943
000070.SZ,20251029,10.1,10.19,9.94,10.14,10.11,0.03,0.2967,401271.06,404189.247
000078.SZ,20251029,2.53,2.53,2.5,2.52,2.53,-0.01,-0.3953,137988.3,34722.938
000088.SZ,20251029,4.58,4.59,4.54,4.58,4.58,0.0,0.0,332986.27,151880.691
000089.SZ,20251029,7.25,7.27,7.17,7.21,7.27,-0.06,-0.8253,141887.2,102130.634
000001.SZ,20251028,11.53,11.58,11.42,11.47,11.52,-0.05,-0.434,821568.18,943626.835
000002.SZ,20251028,6.32,6.33,6.26,6.27,6.32,-0.05,-0.7911,917900.19,577519.765
000004.SZ,20251028,13.3,13.3,12.7,12.77,13.36,-0.59,-4.4162,96694.26,125455.629
000006.SZ,20251028,13.2,13.26,12.58,12.81,13.3,-0.49,-3.6842,999026.48,1284892.832
000007.SZ,20251028,7.3,7.42,7.27,7.4,7.31,0.09,1.2312,49557.5,36600.736
000008.SZ,20251028,2.89,2.91,2.87,2.87,2.91,-0.04,-1.3746,372141.28,107419.256
000009.SZ,20251028,10.86,10.94,10.75,10.8,10.89,-0.09,-0.8264,361652.18,392290.654
000010.SZ,20251028,3.85,3.91,3.79,3.86,3.85,0.01,0.2597,283647.0,109738.792
000011.SZ,20251028,10.12,11.06,9.93,11.06,10.05,1.01,10.0498,365785.67,385903.495
000012.SZ,20251028,4.64,4.73,4.63,4.7,4.64,0.06,1.2931,194237.4,90957.83
000014.SZ,20251028,21.7,23.0,21.28,22.02,21.84,0.18,0.8242,205920.4,456911.603
000016.SZ,20251028,5.72,5.82,5.63,5.67,5.92,-0.25,-4.223,1306379.39,745376.036
000017.SZ,20251028,6.75,6.85,6.66,6.8,6.75,0.05,0.7407,138532.98,93869.492
000019.SZ,20251028,7.01,7.04,6.93,6.98,7.05,-0.07,-0.9929,246797.05,171987.108
000020.SZ,20251028,14.35,15.36,14.29,15.02,14.39,0.63,4.378,173831.81,260753.681
000021.SZ,20251028,29.3,30.2,29.1,29.46,30.1,-0.64,-2.1262,1257360.96,3720362.412
000025.SZ,20251028,18.48,18.95,18.19,18.58,18.58,0.0,0.0,247020.3,457639.891
000026.SZ,20251028,16.75,16.75,16.23,16.4,16.74,-0.34,-2.0311,80978.0,133010.842
000027.SZ,20251028,7.21,7.22,7.04,7.07,7.25,-0.18,-2.4828,844353.75,599677.611
000028.SZ,20251028,25.5,25.57,25.42,25.42,25.51,-0.09,-0.3528,21784.83,55527.586
000029.SZ,20251028,28.7,29.78,28.63,29.41,28.7,0.71,2.4739,57861.81,169550.95
000030.SZ,20251028,5.55,5.63,5.55,5.6,5.58,0.02,0.3584,81277.2,45529.38
000031.SZ,20251028,3.23,3.24,3.18,3.19,3.22,-0.03,-0.9317,192773.01,61716.086
000032.SZ,20251028,20.5,21.18,20.41,20.9,20.63,0.27,1.3088,225076.4,470353.153
000034.SZ,20251028,39.3,40.36,39.08,40.36,39.48,0.88,2.229,253641.3,1009167.057
000035.SZ,20251028,5.89,5.98,5.8,5.82,5.89,-0.07,-1.1885,301276.0,177372.773
000036.SZ,20251028,4.03,4.06,3.99,4.0,4.03,-0.03,-0.7444,136851.7,54965.765
000037.SZ,20251028,8.87,8.89,8.78,8.82,8.87,-0.05,-0.5637,63419.66,55909.495
000039.SZ,20251028,8.24,8.26,8.18,8.18,8.25,-0.07,-0.8485,234415.41,192469.175
000042.SZ,20251028,7.88,8.06,7.79,7.92,7.97,-0.05,-0.6274,61234.0,48322.926
000045.SZ,20251028,14.0,14.07,13.67,13.86,13.92,-0.06,-0.431,265714.06,367896.338
000048.SZ,20251028,16.99,17.0,16.45,16.75,17.0,-0.25,-1.4706,237777.84,395825.922
000049.SZ,20251028,27.08,27.49,26.83,27.36,27.22,0.14,0.5143,87064.49,236899.061
000050.SZ,20251028,9.54,9.63,9.5,9.55,9.58,-0.03,-0.3132,158534.32,151477.466
000055.SZ,20251028,4.35,4.45,4.35,4.43,4.36,0.07,1.6055,163183.94,71766.836
000056.SZ,20251028,2.33,2.35,2.29,2.35,2.33,0.02,0.8584,355743.99,82688.208
000058.SZ,20251028,10.3,10.31,9.74,9.78,10.3,-0.52,-5.0485,569414.76,565725.374
000059.SZ,20251028,5.08,5.14,5.06,5.1,5.07,0.03,0.5917,158737.0,81181.013
000060.SZ,20251028,5.65,5.65,5.47,5.5,5.7,-0.2,-3.5088,1289532.84,715512.068
000061.SZ,20251028,8.98,8.98,8.37,8.4,9.13,-0.73,-7.9956,423384.06,361858.433
000062.SZ,20251028,27.85,28.07,27.76,27.91,28.13,-0.22,-0.7821,112383.18,313710.542
000063.SZ,20251028,50.4,50.59,48.92,49.39,51.32,-1.93,-3.7607,1960552.52,9748756.812
000065.SZ,20251028,11.39,11.47,11.26,11.29,11.41,-0.12,-1.0517,199115.0,225879.581
000066.SZ,20251028,16.5,16.68,16.4,16.42,16.61,-0.19,-1.1439,603782.78,997641.246
000068.SZ,20251028,3.75,3.99,3.7,3.84,3.72,0.12,3.2258,517032.0,198790.026
000069.SZ,20251028,2.43,2.43,2.4,2.41,2.42,-0.01,-0.4132,383423.81,92471.829
000070.SZ,20251028,10.36,10.36,10.01,10.11,10.47,-0.36,-3.4384,562511.96,569058.789
000078.SZ,20251028,2.52,2.54,2.51,2.53,2.53,0.0,0.0,133187.0,33714.392
000088.SZ,20251028,4.57,4.62,4.56,4.58,4.58,0.0,0.0,341631.55,156672.13
000089.SZ,20251028,7.24,7.34,7.21,7.27,7.24,0.03,0.4144,154429.21,112504.058
000001.SZ,20251027,11.54,11.61,11.44,11.52,11.56,-0.04,-0.346,1239485.26,1428199.707
000002.SZ,20251027,6.37,6.38,6.31,6.32,6.36,-0.04,-0.6289,1053944.09,667073.659
000004.SZ,20251027,13.4,13.55,13.12,13.36,13.44,-0.08,-0.5952,65928.78,87652.772
000006.SZ,20251027,13.83,14.04,13.24,13.3,14.04,-0.74,-5.2707,1108572.07,1495877.585
000007.SZ,20251027,7.38,7.41,7.27,7.31,7.38,-0.07,-0.9485,52831.0,38695.003
000008.SZ,20251027,2.9,2.92,2.87,2.91,2.9,0.01,0.3448,579525.0,167672.004
000009.SZ,20251027,11.08,11.1,10.8,10.89,10.97,-0.08,-0.7293,435288.96,475902.2
000010.SZ,20251027,3.88,3.89,3.68,3.85,3.87,-0.02,-0.5168,407566.0,153992.103
000011.SZ,20251027,10.29,10.46,10.0,10.05,10.35,-0.3,-2.8986,237206.79,240813.304
000012.SZ,20251027,4.65,4.67,4.64,4.64,4.64,0.0,0.0,123870.65,57617.237
000014.SZ,20251027,21.65,21.84,21.05,21.84,21.65,0.19,0.8776,185612.6,398561.266
000016.SZ,20251027,5.61,6.17,5.55,5.92,5.61,0.31,5.5258,1925839.96,1116528.112
000017.SZ,20251027,6.89,6.89,6.66,6.75,6.87,-0.12,-1.7467,206424.0,139237.88
000019.SZ,20251027,7.1,7.12,6.99,7.05,7.14,-0.09,-1.2605,346743.56,243991.87
000020.SZ,20251027,14.59,14.8,14.36,14.39,14.56,-0.17,-1.1676,62568.0,90651.293
000021.SZ,20251027,30.5,30.88,29.23,30.1,29.64,0.46,1.552,1936947.22,5832238.11
000025.SZ,20251027,18.88,18.99,18.17,18.58,18.51,0.07,0.3782,257349.39,475233.23
000026.SZ,20251027,16.65,17.0,16.52,16.74,16.7,0.04,0.2395,63531.0,106421.759
000027.SZ,20251027,7.2,7.45,7.13,7.25,7.25,0.0,0.0,1329429.83,964524.669
000028.SZ,20251027,25.53,25.58,25.39,25.51,25.44,0.07,0.2752,27620.64,70404.708
000029.SZ,20251027,28.82,29.18,28.44,28.7,28.36,0.34,1.1989,51618.5,148939.12
000030.SZ,20251027,5.56,5.61,5.51,5.58,5.56,0.02,0.3597,96985.4,53984.806
000031.SZ,20251027,3.25,3.26,3.2,3.22,3.25,-0.03,-0.9231,216860.0,69881.178
000032.SZ,20251027,20.67,20.78,20.27,20.63,20.58,0.05,0.243,188538.83,387400.041
000034.SZ,20251027,39.55,40.05,39.21,39.48,39.45,0.03,0.076,193766.9,767058.735
000035.SZ,20251027,5.9,5.98,5.83,5.89,5.78,0.11,1.9031,464402.41,274716.742
000036.SZ,20251027,4.07,4.08,4.0,4.03,4.04,-0.01,-0.2475,187158.26,75517.248
000037.SZ,20251027,9.0,9.0,8.85,8.87,8.87,0.0,0.0,94290.5,84101.897
000039.SZ,20251027,8.24,8.3,8.2,8.25,8.22,0.03,0.365,284835.0,235151.053
000042.SZ,20251027,8.04,8.1,7.82,7.97,8.04,-0.07,-0.8706,87865.3,69634.467
000045.SZ,20251027,14.33,14.42,13.87,13.92,14.19,-0.27,-1.9027,320990.93,451797.068
